graph,order,size,time,iterations,error,technique,skip_chains,chain_vertices,chains
"min-1DeadEnd","5","6","0","17","0","pagerankSeq","0","0","0"
"min-1DeadEnd","5","6","0","17","0","pagerankSeq","2","0","0"
"min-1DeadEnd","5","6","0","17","0","pagerankSeq","4","0","0"
"min-1DeadEnd","5","6","0","17","0","pagerankSeq","8","0","0"
"min-1DeadEnd","5","6","0","17","0","pagerankSeq","16","0","0"
"min-1DeadEnd","5","6","0","17","0","pagerankSeq","32","0","0"
"min-1DeadEnd","5","6","0","17","0","pagerankSeq","64","0","0"
"min-1DeadEnd","5","6","0","17","0","pagerankSeq","128","0","0"
"min-1DeadEnd","5","6","0","17","0","pagerankSeq","256","0","0"
"min-2SCC","8","12","0.005","40","0","pagerankSeq","0","0","0"
"min-2SCC","8","12","0.008","40","0","pagerankSeq","2","2","1"
"min-2SCC","8","12","0.005","40","0","pagerankSeq","4","0","0"
"min-2SCC","8","12","0.005","40","0","pagerankSeq","8","0","0"
"min-2SCC","8","12","0.005","40","0","pagerankSeq","16","0","0"
"min-2SCC","8","12","0.005","40","0","pagerankSeq","32","0","0"
"min-2SCC","8","12","0.005","40","0","pagerankSeq","64","0","0"
"min-2SCC","8","12","0.005","40","0","pagerankSeq","128","0","0"
"min-2SCC","8","12","0.005","40","0","pagerankSeq","256","0","0"
"min-4SCC","21","35","0.007","45","0","pagerankSeq","0","0","0"
"min-4SCC","21","35","0.01","45","0","pagerankSeq","2","6","3"
"min-4SCC","21","35","0.007","45","0","pagerankSeq","4","0","0"
"min-4SCC","21","35","0.007","45","0","pagerankSeq","8","0","0"
"min-4SCC","21","35","0.007","45","0","pagerankSeq","16","0","0"
"min-4SCC","21","35","0.007","45","0","pagerankSeq","32","0","0"
"min-4SCC","21","35","0.007","45","0","pagerankSeq","64","0","0"
"min-4SCC","21","35","0.007","45","0","pagerankSeq","128","0","0"
"min-4SCC","21","35","0.007","45","0","pagerankSeq","256","0","0"
"min-NvgraphEx","6","10","0.001","24","0","pagerankSeq","0","0","0"
"min-NvgraphEx","6","10","0.001","24","0","pagerankSeq","2","0","0"
"min-NvgraphEx","6","10","0.001","24","0","pagerankSeq","4","0","0"
"min-NvgraphEx","6","10","0.001","24","0","pagerankSeq","8","0","0"
"min-NvgraphEx","6","10","0.001","24","0","pagerankSeq","16","0","0"
"min-NvgraphEx","6","10","0.001","24","0","pagerankSeq","32","0","0"
"min-NvgraphEx","6","10","0.001","24","0","pagerankSeq","64","0","0"
"min-NvgraphEx","6","10","0.001","24","0","pagerankSeq","128","0","0"
"min-NvgraphEx","6","10","0.001","24","0","pagerankSeq","256","0","0"
"web-Stanford","281903","2312497","443.403","63","0","pagerankSeq","0","0","0"
"web-Stanford","281903","2312497","436.523","63","1.7376e-9","pagerankSeq","2","1265","575"
"web-Stanford","281903","2312497","445.141","63","1.1369e-11","pagerankSeq","4","51","2"
"web-Stanford","281903","2312497","433.567","63","1.1369e-11","pagerankSeq","8","51","2"
"web-Stanford","281903","2312497","438.725","63","1.1369e-11","pagerankSeq","16","51","2"
"web-Stanford","281903","2312497","435.385","63","1.0004e-11","pagerankSeq","32","34","1"
"web-Stanford","281903","2312497","437.912","63","0","pagerankSeq","64","0","0"
"web-Stanford","281903","2312497","435.215","63","0","pagerankSeq","128","0","0"
"web-Stanford","281903","2312497","438.292","63","0","pagerankSeq","256","0","0"
"web-BerkStan","685230","7600595","941.047","64","0","pagerankSeq","0","0","0"
"web-BerkStan","685230","7600595","939.722","64","3.0828e-9","pagerankSeq","2","3045","1319"
"web-BerkStan","685230","7600595","940.61","64","1.5524e-9","pagerankSeq","4","266","24"
"web-BerkStan","685230","7600595","939.141","64","1.2287e-9","pagerankSeq","8","197","10"
"web-BerkStan","685230","7600595","940.229","64","4.6902e-10","pagerankSeq","16","142","5"
"web-BerkStan","685230","7600595","935.722","64","1.495e-11","pagerankSeq","32","54","1"
"web-BerkStan","685230","7600595","943.214","64","0","pagerankSeq","64","0","0"
"web-BerkStan","685230","7600595","935.89","64","0","pagerankSeq","128","0","0"
"web-BerkStan","685230","7600595","938.713","64","0","pagerankSeq","256","0","0"
"web-Google","916428","5105039","1587.434","61","0","pagerankSeq","0","0","0"
"web-Google","916428","5105039","1596.223","61","3.9708e-9","pagerankSeq","2","2747","1330"
"web-Google","916428","5105039","1586.197","61","1.7403e-9","pagerankSeq","4","22","4"
"web-Google","916428","5105039","1586.56","61","2.3942e-10","pagerankSeq","8","9","1"
"web-Google","916428","5105039","1592.954","61","0","pagerankSeq","16","0","0"
"web-Google","916428","5105039","1610.99","61","0","pagerankSeq","32","0","0"
"web-Google","916428","5105039","1610.933","61","0","pagerankSeq","64","0","0"
"web-Google","916428","5105039","1614.823","61","0","pagerankSeq","128","0","0"
"web-Google","916428","5105039","1617.919","61","0","pagerankSeq","256","0","0"
"web-NotreDame","325729","1497134","246.233","58","0","pagerankSeq","0","0","0"
"web-NotreDame","325729","1497134","246.825","58","0","pagerankSeq","2","982","491"
"web-NotreDame","325729","1497134","243.924","58","0","pagerankSeq","4","0","0"
"web-NotreDame","325729","1497134","241.163","58","0","pagerankSeq","8","0","0"
"web-NotreDame","325729","1497134","239.38","58","0","pagerankSeq","16","0","0"
"web-NotreDame","325729","1497134","242.115","58","0","pagerankSeq","32","0","0"
"web-NotreDame","325729","1497134","245.355","58","0","pagerankSeq","64","0","0"
"web-NotreDame","325729","1497134","244.127","58","0","pagerankSeq","128","0","0"
"web-NotreDame","325729","1497134","244.565","58","0","pagerankSeq","256","0","0"
"soc-Slashdot0811","77360","905468","96.407","55","0","pagerankSeq","0","0","0"
"soc-Slashdot0811","77360","905468","96.508","55","0","pagerankSeq","2","0","0"
"soc-Slashdot0811","77360","905468","96.829","55","0","pagerankSeq","4","0","0"
"soc-Slashdot0811","77360","905468","96.98","55","0","pagerankSeq","8","0","0"
"soc-Slashdot0811","77360","905468","95.953","55","0","pagerankSeq","16","0","0"
"soc-Slashdot0811","77360","905468","96.976","55","0","pagerankSeq","32","0","0"
"soc-Slashdot0811","77360","905468","95.332","55","0","pagerankSeq","64","0","0"
"soc-Slashdot0811","77360","905468","96.836","55","0","pagerankSeq","128","0","0"
"soc-Slashdot0811","77360","905468","97.567","55","0","pagerankSeq","256","0","0"
"soc-Slashdot0902","82168","948464","107.251","56","0","pagerankSeq","0","0","0"
"soc-Slashdot0902","82168","948464","106.892","56","0","pagerankSeq","2","0","0"
"soc-Slashdot0902","82168","948464","106.395","56","0","pagerankSeq","4","0","0"
"soc-Slashdot0902","82168","948464","107.129","56","0","pagerankSeq","8","0","0"
"soc-Slashdot0902","82168","948464","108.478","56","0","pagerankSeq","16","0","0"
"soc-Slashdot0902","82168","948464","106.927","56","0","pagerankSeq","32","0","0"
"soc-Slashdot0902","82168","948464","106.193","56","0","pagerankSeq","64","0","0"
"soc-Slashdot0902","82168","948464","106.312","56","0","pagerankSeq","128","0","0"
"soc-Slashdot0902","82168","948464","105.63","56","0","pagerankSeq","256","0","0"
"soc-Epinions1","75888","508837","84.821","54","0","pagerankSeq","0","0","0"
"soc-Epinions1","75888","508837","83.539","54","5.2612e-9","pagerankSeq","2","1112","554"
"soc-Epinions1","75888","508837","84.819","54","0","pagerankSeq","4","0","0"
"soc-Epinions1","75888","508837","85.298","54","0","pagerankSeq","8","0","0"
"soc-Epinions1","75888","508837","84.86","54","0","pagerankSeq","16","0","0"
"soc-Epinions1","75888","508837","83.821","54","0","pagerankSeq","32","0","0"
"soc-Epinions1","75888","508837","82.09","54","0","pagerankSeq","64","0","0"
"soc-Epinions1","75888","508837","85.351","54","0","pagerankSeq","128","0","0"
"soc-Epinions1","75888","508837","84.631","54","0","pagerankSeq","256","0","0"
"coAuthorsDBLP","299067","1955352","258.539","45","0","pagerankSeq","0","0","0"
"coAuthorsDBLP","299067","1955352","256.811","45","0","pagerankSeq","2","0","0"
"coAuthorsDBLP","299067","1955352","255.662","45","0","pagerankSeq","4","0","0"
"coAuthorsDBLP","299067","1955352","257.78","45","0","pagerankSeq","8","0","0"
"coAuthorsDBLP","299067","1955352","257.916","45","0","pagerankSeq","16","0","0"
"coAuthorsDBLP","299067","1955352","252.563","45","0","pagerankSeq","32","0","0"
"coAuthorsDBLP","299067","1955352","253.276","45","0","pagerankSeq","64","0","0"
